date	open	high	low	close	volume	adj_close
2016-05-17	206.460007	206.800003	204.229996	204.850006	114924900	201.577857
2016-05-16	204.960007	207.339996	204.889999	206.779999	77486800	203.477021
2016-05-13	206.210007	206.860001	204.380005	204.759995	96474600	201.489283
2016-05-12	207.289993	207.490005	205.369995	206.559998	89586300	203.260534
2016-05-11	207.910004	208.539993	206.50	206.50	81727000	203.201495
2016-05-10	206.720001	208.470001	206.639999	208.449997	77472200	205.120344
2016-05-09	205.570007	206.399994	205.360001	205.889999	74374900	202.601238
2016-05-06	204.059998	205.770004	203.880005	205.720001	83784900	202.433956
2016-05-05	205.559998	205.979996	204.470001	204.970001	67619200	201.695936
2016-05-04	204.990005	205.850006	204.419998	205.009995	92243800	201.73529
2016-05-03	206.520004	206.800003	205.279999	206.160004	101267500	202.86693
2016-05-02	206.919998	208.179993	206.410004	207.970001	62188000	204.648015
2016-04-29	206.720001	207.130005	205.029999	206.330002	142424100	203.034212
2016-04-28	208.460007	209.759995	206.960007	207.449997	97216200	204.136317
2016-04-27	208.470001	209.809998	208.050003	209.350006	77329400	206.005977
2016-04-26	209.039993	209.520004	208.360001	208.919998	75864200	205.582838
2016-04-25	208.259995	208.660004	207.539993	208.610001	66166500	205.277792
2016-04-22	208.550003	209.289993	207.910004	208.970001	99251700	205.632042
2016-04-21	210.119995	210.25	208.649994	208.970001	85695000	205.632042
2016-04-20	209.949997	210.919998	209.389999	210.100006	81100300	206.743997
2016-04-19	209.740005	210.199997	208.940002	209.899994	88316100	206.54718
2016-04-18	207.779999	209.279999	207.00	209.240005	75277700	205.897733
2016-04-15	208.009995	208.169998	207.399994	207.779999	75761600	204.461048
2016-04-14	208.070007	208.600006	207.600006	208.009995	65212900	204.68737
2016-04-13	207.00	208.100006	206.839996	208.00	96336400	204.677535
2016-04-12	204.220001	206.25	203.699997	205.919998	115350600	202.630758
2016-04-11	205.25	206.070007	203.910004	204.020004	83757500	200.761113
2016-04-08	205.339996	205.850006	203.869995	204.50	95040600	201.233442
2016-04-07	205.139999	205.559998	203.089996	203.949997	113859000	200.692224
2016-04-06	204.190002	206.490005	203.979996	206.419998	91839800	203.122771
2016-04-05	204.669998	206.259995	203.889999	204.190002	99662200	200.928396
2016-04-04	206.830002	207.070007	205.889999	206.25	63497000	202.955488
2016-04-01	204.350006	207.139999	203.979996	206.919998	114423500	203.614785
2016-03-31	205.910004	206.410004	205.330002	205.520004	94584100	202.237153
2016-03-30	206.300003	206.869995	205.589996	206.020004	86365300	202.729167
2016-03-29	202.759995	205.25	202.399994	205.119995	92922900	201.843534
2016-03-28	203.610001	203.860001	202.710007	203.240005	62408200	199.993574
2016-03-24	202.00	203.160004	201.740005	203.119995	84360900	199.87548
2016-03-23	204.110001	204.330002	203.009995	203.210007	81052500	199.964054
2016-03-22	203.759995	205.229996	203.570007	204.559998	97471900	201.292481
2016-03-21	204.070007	204.940002	203.800003	204.669998	72926700	201.400725
2016-03-18	204.169998	204.779999	203.800003	204.380005	138372400	201.115364
2016-03-17	203.240005	205.229996	202.770004	204.630005	134278500	200.328134
2016-03-16	201.600006	203.820007	201.550003	203.339996	129303200	199.065245
2016-03-15	201.360001	202.529999	201.050003	202.169998	93169100	197.919844
2016-03-14	202.160004	203.039993	201.770004	202.50	73612000	198.242908
2016-03-11	201.259995	202.809998	199.520004	202.759995	137964500	198.497437
2016-03-10	199.960007	201.070007	197.380005	199.539993	156838700	195.345128
2016-03-09	199.360001	199.789993	198.429993	199.380005	94801200	195.188503
2016-03-08	199.320007	199.919998	198.210007	198.399994	123974900	194.229095
2016-03-07	199.339996	201.070007	199.25	200.589996	100219000	196.373058
2016-03-04	200.009995	201.350006	199.029999	200.429993	129293600	196.216418
2016-03-03	198.789993	199.800003	198.110001	199.779999	95172200	195.580088
2016-03-02	197.740005	199.059998	197.25	199.00	102415000	194.816487
2016-03-01	195.009995	198.210007	194.449997	198.110001	141799700	193.945198
2016-02-29	195.110001	196.229996	193.330002	193.559998	125918100	189.490848
2016-02-26	196.570007	196.679993	194.899994	195.089996	129833700	190.988682
2016-02-25	193.729996	195.550003	192.830002	195.539993	110728300	191.429219
2016-02-24	190.630005	193.529999	189.320007	193.199997	150812200	189.138416
2016-02-23	194.00	194.320007	192.179993	192.320007	111455300	188.276926
2016-02-22	193.869995	194.949997	193.789993	194.779999	103640300	190.685202
2016-02-19	191.169998	192.179993	190.449997	192.00	114793000	187.963646
2016-02-18	193.199997	193.270004	191.720001	192.089996	102343000	188.05175
2016-02-17	191.160004	193.320007	191.009995	192.880005	136009500	188.825151
2016-02-16	188.770004	189.809998	187.630005	189.779999	120250700	185.790315
2016-02-12	184.960007	186.649994	183.960007	186.630005	127632400	182.706542
2016-02-11	182.339996	184.100006	181.089996	182.860001	219058900	179.015794
2016-02-10	186.410004	188.339996	185.119995	185.270004	148214100	181.375133
2016-02-09	183.360001	186.940002	183.199997	185.429993	184513100	181.531758
2016-02-08	185.770004	186.119995	182.800003	185.419998	191526700	181.521973
2016-02-05	190.990005	191.669998	187.199997	187.949997	180788300	183.998785
2016-02-04	190.710007	192.75	189.960007	191.600006	139531800	187.572061
2016-02-03	191.410004	191.779999	187.100006	191.300003	205054900	187.278365
2016-02-02	191.960007	191.970001	189.539993	190.160004	182564900	186.162331
2016-02-01	192.529999	194.580002	191.839996	193.649994	136061600	189.578953
2016-01-29	190.020004	193.880005	189.880005	193.720001	210529300	189.647488
2016-01-28	189.960007	190.199997	187.160004	189.110001	143798800	185.134402
2016-01-27	189.580002	191.559998	187.059998	188.130005	185681700	184.175008
2016-01-26	188.419998	190.529999	188.020004	190.199997	141036800	186.201484
2016-01-25	189.919998	190.149994	187.410004	187.639999	130371700	183.695304
2016-01-22	189.779999	190.759995	188.880005	190.520004	168319600	186.514764
2016-01-21	186.210007	188.869995	184.639999	186.690002	195772900	182.765279
2016-01-20	185.029999	187.50	181.020004	185.649994	286547800	181.747134
2016-01-19	189.960007	190.110001	186.199997	188.059998	195244400	184.106473
2016-01-15	186.770004	188.759995	185.520004	187.809998	314240200	183.861729
2016-01-14	189.550003	193.259995	187.660004	191.929993	240795600	187.89511
2016-01-13	194.449997	194.860001	188.380005	188.830002	221168900	184.86029
2016-01-12	193.820007	194.550003	191.139999	193.660004	172330500	189.588752
2016-01-11	193.009995	193.410004	189.820007	192.110001	187941300	188.071334
2016-01-08	195.190002	195.850006	191.580002	191.919998	209817200	187.885326
2016-01-07	195.330002	197.440002	193.589996	194.050003	213436100	189.970552
2016-01-06	198.339996	200.059998	197.600006	198.820007	152112600	194.640278
2016-01-05	201.399994	201.899994	200.050003	201.360001	110845800	197.126874
2016-01-04	200.490005	201.029999	198.589996	201.020004	222353500	196.794026
